Area,Scenario,Expected result,Status,Notes
Release,Aprire Home e Oggi,Branding visibile V6.0.0,DA FARE SU DEPLOY,
Planner,Target basso fattibile,Proposta entro tolleranza senza porzioni scalate,DA FARE SU DEPLOY,
Planner,Target/day-type non fattibile,Messaggio esplicito infeasible senza piano fuori target,DA FARE SU DEPLOY,
Convertitore,Aprire ricetta e confrontare riso con pasta,Grammi equivalenti e delta macro/fibre leggibili; nessuna scrittura ricetta,DA FARE SU DEPLOY,
Convertitore,Cercare olio partendo dal riso,Visibile come equivalenza energetica ma non suggerito greedy,DA FARE SU DEPLOY,
Cambio pasto,Cercare lenticchie,Trovate ricette per ingrediente con riepilogo ingredienti,DA FARE SU DEPLOY,
Cambio pasto,Scegliere candidato che viola hard constraint,Candidato bloccato o salvataggio rifiutato con motivazione,DA FARE SU DEPLOY,
Date future,Usare Domani/+3/+7 e picker,Apertura diretta della data scelta,DA FARE SU DEPLOY,
Diario,Segnare tutti i pasti seguiti,Semaforo giorno verde e aderenza 100%,DA FARE SU DEPLOY,
Diario,Registrare un pasto modificato,Semaforo pasto giallo e dati effettivi persistenti,DA FARE SU DEPLOY,
Diario,Aggiungere pasto manuale,Pasto extra visibile senza alterare denominatore aderenza,DA FARE SU DEPLOY,
Diario,Salvare commento e ricaricare,Commento e storico persistono,DA FARE SU DEPLOY,
Diario,Modificare poi il piano di un giorno già registrato,Snapshot storico del Diario resta invariato,DA FARE SU DEPLOY,
Backup,Esportare backup completo,Schema 2 e diaryDays inclusi,DA FARE SU DEPLOY,
Backup,Reimportare backup V6,Diario/piano/preferenze ripristinati,DA FARE SU DEPLOY,
PWA,Installare/aggiornare app,Versione 6.0.0 e nessuna perdita dati locali,DA FARE SU DEPLOY,
Offline,Aprire Oggi/Diario/ricetta dopo download offline,Superfici core disponibili senza rete,DA FARE SU DEPLOY,
Mobile,Review 360-430px,Nessun overflow; picker/converter/diario usabili,DA FARE SU DEPLOY,
Desktop,Review 1280px,Layout coerente e leggibile,DA FARE SU DEPLOY,
