recipe_version_id,recipe_id,recipe_title,used_occurrences,egg_equivalent_units,dairy_occurrence,dairy_codes,primary_protein,primary_protein_g,primary_protein_share,legume_quantity_g,legume_protein_g,legume_share_of_recognized_protein,plant_protein_main,primary_carb,pasta_rice_primary,ingredient_codes
base:recipe-version:banana-e-latte:a4b16218d9a8fc6e,base:recipe:banana-e-latte,Banana e latte,8,0.0,no,[],milk_yogurt,5.94,1.0,0.0,0.0,0.0,no,,no,"[""banana"", ""latte_ps""]"
base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-broccoli:8f339ab02fbaac9b,base:recipe:bowl-coreana-delicata-con-manzo-riso-e-broccoli,"Bowl coreana delicata con manzo, riso e broccoli",3,0.0,no,[],red_meat,24.2,0.9782,0.0,0.0,0.0,no,rice,yes,"[""broccoli"", ""carciofo"", ""manzo_magro"", ""riso_jasmine"", ""salsa_soia"", ""sesamo""]"
base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-carote:1293bd4b61952158,base:recipe:bowl-coreana-delicata-con-manzo-riso-e-carote,"Bowl coreana delicata con manzo, riso e carote",0,0.0,no,[],red_meat,24.2,0.9782,0.0,0.0,0.0,no,rice,yes,"[""carota"", ""manzo_magro"", ""riso_jasmine"", ""salsa_soia"", ""sesamo"", ""spinaci""]"
base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-carote:65761b5bbf817bdd,base:recipe:bowl-coreana-delicata-con-manzo-riso-e-carote,"Bowl coreana delicata con manzo, riso e carote",0,0.0,no,[],red_meat,24.2,0.9782,0.0,0.0,0.0,no,rice,yes,"[""carota"", ""manzo_magro"", ""melanzana"", ""riso_jasmine"", ""salsa_soia"", ""sesamo""]"
base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-carote:b1a32c25c8e098c3,base:recipe:bowl-coreana-delicata-con-manzo-riso-e-carote,"Bowl coreana delicata con manzo, riso e carote",1,0.0,no,[],red_meat,24.2,0.9782,0.0,0.0,0.0,no,rice,yes,"[""carota"", ""manzo_magro"", ""riso_jasmine"", ""salsa_soia"", ""sesamo"", ""spinaci""]"
base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-carote:d1b595b5e437cfbd,base:recipe:bowl-coreana-delicata-con-manzo-riso-e-carote,"Bowl coreana delicata con manzo, riso e carote",0,1.6,no,[],red_meat,24.2,0.7233,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""carota"", ""manzo_magro"", ""pane_bianco"", ""riso_jasmine"", ""salsa_soia"", ""sesamo"", ""spinaci""]"
base:recipe-version:bowl-coreana-delicata-con-manzo-riso-e-cavolfiore:57bba950e198a83f,base:recipe:bowl-coreana-delicata-con-manzo-riso-e-cavolfiore,"Bowl coreana delicata con manzo, riso e cavolfiore",0,0.0,no,[],red_meat,24.2,0.9782,0.0,0.0,0.0,no,rice,yes,"[""cavolfiore"", ""funghi"", ""manzo_magro"", ""riso_jasmine"", ""salsa_soia"", ""sesamo""]"
base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-finocchi:8f162b0b48e8e42c,base:recipe:bowl-greca-delicata-con-pollo-feta-e-finocchi,"Bowl greca delicata con pollo, feta e finocchi",0,0.0,yes,"[""feta""]",poultry,25.3,0.8377,0.0,0.0,0.0,no,rice,yes,"[""feta"", ""finocchio"", ""olio"", ""pane_bianco"", ""pollo"", ""riso_basmati""]"
base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-finocchi:b41adde077b12d94,base:recipe:bowl-greca-delicata-con-pollo-feta-e-finocchi,"Bowl greca delicata con pollo, feta e finocchi",0,0.0,yes,"[""feta""]",poultry,25.3,0.8377,0.0,0.0,0.0,no,rice,yes,"[""feta"", ""finocchio"", ""olio"", ""pollo"", ""riso_integrale""]"
base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-finocchi:f122945c590a00f2,base:recipe:bowl-greca-delicata-con-pollo-feta-e-finocchi,"Bowl greca delicata con pollo, feta e finocchi",0,0.0,yes,"[""feta""]",poultry,25.3,0.8377,0.0,0.0,0.0,no,rice,yes,"[""feta"", ""finocchio"", ""olio"", ""pollo"", ""riso_basmati""]"
base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucca:4e14a2e31e43d7bb,base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucca,"Bowl greca delicata con pollo, feta e zucca",0,0.0,yes,"[""feta""]",poultry,25.3,0.8377,0.0,0.0,0.0,no,rice,yes,"[""feta"", ""olio"", ""pollo"", ""riso_basmati"", ""zucca""]"
base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucca:6d838eced89712ef,base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucca,"Bowl greca delicata con pollo, feta e zucca",0,0.0,yes,"[""feta""]",poultry,25.3,0.8377,0.0,0.0,0.0,no,rice,yes,"[""feta"", ""olio"", ""pollo"", ""riso_basmati"", ""zucca""]"
base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucca:9f2fd9275b7e293c,base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucca,"Bowl greca delicata con pollo, feta e zucca",0,1.6,yes,"[""feta""]",poultry,25.3,0.6501,0.0,0.0,0.0,no,rice,yes,"[""albume"", ""feta"", ""olio"", ""pane_bianco"", ""pollo"", ""riso_basmati"", ""zucca""]"
base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucca:a0603a878bb7abc5,base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucca,"Bowl greca delicata con pollo, feta e zucca",0,0.0,yes,"[""feta""]",poultry,25.3,0.8377,0.0,0.0,0.0,no,rice,yes,"[""feta"", ""olio"", ""pollo"", ""riso_basmati"", ""zucca""]"
base:recipe-version:bowl-greca-delicata-con-pollo-feta-e-zucchine:15c1162c0403e1d0,base:recipe:bowl-greca-delicata-con-pollo-feta-e-zucchine,"Bowl greca delicata con pollo, feta e zucchine",0,0.0,yes,"[""feta""]",poultry,25.3,0.8377,0.0,0.0,0.0,no,rice,yes,"[""feta"", ""olio"", ""pollo"", ""riso_basmati"", ""zucchina""]"
base:recipe-version:bowl-libanese-delicata-con-pollo-e-carote:1bebfe8f0f652905,base:recipe:bowl-libanese-delicata-con-pollo-e-carote,Bowl libanese delicata con pollo e carote,0,0.0,no,[],poultry,26.45,0.9363,0.0,0.0,0.0,no,rice,yes,"[""carota"", ""olio"", ""pollo"", ""riso_basmati"", ""yogurt_bianco""]"
base:recipe-version:bowl-libanese-delicata-con-pollo-e-carote:1fc9cf3e2182a3e9,base:recipe:bowl-libanese-delicata-con-pollo-e-carote,Bowl libanese delicata con pollo e carote,0,0.0,no,[],poultry,26.45,0.9363,0.0,0.0,0.0,no,rice,yes,"[""carota"", ""olio"", ""pollo"", ""riso_basmati"", ""yogurt_bianco""]"
